,text,predicted_text,start_pos,end_pos,predicted_start_pos,predicted_end_pos
0,Viking,""" norseman, viking """,97,97,93,98
1,9th century,9th century,90,91,90,91
3,9th century,9th century,90,91,90,91
4,Norman mercenary,norman mercenary origin,19,20,19,21
5,Byzantine Greece,byzantine greece,16,17,16,17
6,George Maniaces,george maniaces,93,95,93,95
7,Sicilian expedition,sicilian expedition,98,99,98,99
8,1185,1185,32,33,32,33
10,the Adriatic,the adriatic,71,72,71,72
11,Norman army,a large norman army,38,39,36,39
12,high Byzantine officials,high byzantine officials,46,48,46,48
13,Dyrrachium,dyrrachium,38,42,38,42
14,Hereford,hereford,39,39,39,39
16,Edward the Confessor,edward the confessor,25,28,25,28
17,Normans,normans,23,24,23,24
18,Ralph,ralph,37,37,37,37
19,Wales,wales,70,70,70,70
20,the Marches,the marches,20,21,20,21
22,1018,1018,63,64,63,64
23,William of Montreuil,william of montreuil,102,106,102,106
24,Antioch,antioch,42,42,42,42
26,Roger de Tosny,roger de tosny,60,64,60,64
27,the War of Barbastro,"religious wars long before the first crusade carved out a norman principality in antioch. they were major foreign participants in the reconquista in iberia. in 1018, roger de tosny travelled to the iberian peninsula to carve out a state for himself from moorish lands, but failed. in 1064, during the war of barbastro",89,94,24,94
28,380 years,380 years,45,46,45,46
29,Cyprus,the conquest of cyprus,16,16,13,16
31,Africa,africa,69,69,69,69
32,Jean de Bethencourt and the Poitevine Gadifer de la Salle,jean de bethencourt and the poitevine gadifer de la salle,26,41,26,41
34,Bethencourt,bethencourt,11,13,11,13
36,Maciot de Bethencourt,maciot de bethencourt,36,41,36,41
37,King of the Canary Islands,king of the canary islands,20,24,20,24
38,Maciot de Bethencourt,maciot de bethencourt,43,48,43,48
39,Romanesque,romanesque,33,33,33,33
40,rounded,rounded,69,69,69,69
41,rounded arches,rounded,71,72,71,71
44,Sicily,sicily,71,71,71,71
47,Normans,the normans,47,48,46,48
48,16th century,16th century,17,18,17,18
50,French Revolution,french revolution,22,23,22,23
51,embroidery,embroidery,42,42,42,42
52,Bayeux Tapestry,bayeux tapestry,24,26,24,26
53,Odo,"odo, the bishop of bayeux and first earl of kent",37,38,37,49
54,the Bayeux Tapestry,bayeux tapestry,21,24,22,24
55,Odo,odo,43,44,43,44
56,southern Italy,southern italy,50,51,50,51
