,text,predicted_text,start_pos,end_pos,predicted_start_pos,predicted_end_pos
2,"""Normans""",normant,18,21,35,36
9,Dyrrachium,,36,40,55,40
15,the Welsh,edward the confessor,55,56,31,34
21,"Bernard de Neufmarché, Roger of Montgomery in Shropshire and Hugh Lupus in Cheshire",norman barons,33,50,29,30
25,Reconquista in Iberia,,49,55,48,28
30,Cyprus,anglo - norman forces of the third crusade,13,13,16,23
33,Canarian islands,"lanzarote, fuerteventura and el hierro",43,45,47,60
35,Enrique Pérez de Guzmán,maciot de bethencourt,49,52,36,41
42,Early Gothic,norman - arab,32,33,63,65
43,Anglo-Saxon,norman - arab,24,26,63,65
45,the period of Norman architecture,the early gothic,17,21,34,36
46,Anglo-Saxon,norman - arab,23,25,62,64
49,The French Wars of Religion,,12,16,22,16
60,monks,,40,40,39,37
63,computational problems,computational complexity theory,41,42,21,23
64,is a branch of the theory of computation in theoretical computer science that focuses on classifying computational problems,,11,29,57,18
67,computational problem,the problem,50,51,78,79
70,binary alphabet,string over an alphabet,42,43,28,31
74,problem instance,,22,23,28,23
81,how graphs are encoded as binary strings,,86,92,86,68
84,how graphs are encoded as binary strings.,,86,93,86,68
88,A function problem,integer factorization problem,15,17,72,75
93,a computational problem,the traveling salesman problem and the integer factorization problem,15,17,62,71
96,decision problems,recast as decision problems,29,30,46,50
103,worst-case time complexity,t ( n,52,56,57,59
104,T(n),,54,57,54,31
106,the input size is n,,14,18,30,18
108,the worst-case time complexity,t ( n,52,57,58,60
109,T(n),,54,57,54,31
112,time or space,,81,83,93,83
115,time or space,,81,83,93,83
116,Turing machines,alternating turing machines,14,15,54,56
117,Turing machines,"deterministic turing machines, probabilistic turing machines, non - deterministic turing machines, quantum turing machines, symmetric turing machines and alternating turing machines",23,24,34,65
119,computational power,time and memory consumption,61,62,65,68
123,computational power,deterministically,53,54,80,83
130,Complexity measures,"communication complexity, circuit complexity, and decision tree complexity",46,47,68,77
137,complexity measure,time complexity,38,39,32,33
139,inputs,time complexity,46,46,35,36
146,O(n2),,72,76,72,65
149,worst-case,,49,51,69,62
150,O(n log n),,105,110,72,65
154,T(n) = O(n2),,85,94,82,81
158,big O notation,,25,27,24,19
168,bounding,,24,25,24,13
173,complexity classes,time or space,20,21,29,31
180,are defined using Boolean circuits,probabilistic turing machines,47,52,35,40
190,L,p,56,56,39,39
192,NP-intermediate problems,,48,51,53,51
195,NP-intermediate problems,,47,50,52,50
201,P is not equal to NP,"equal to co - np ; however, it has not yet been proven. it has been shown that if these two complexity classes are not equal",93,98,64,91
205,P is not equal to NP.,complement problems,94,100,38,39
208,complexity classes,the set of all problems that can be solved in logarithmic space,61,62,30,44
210,if they are distinct or equal classes,equal,82,88,56,56
213,complexity classes,the set of all problems that can be solved in logarithmic space,63,64,32,46
